Sun Apr  7 23:14:41 2019    /home/pi/ballance/Ballance/PythonCode/stats

         14936588 function calls (14873155 primitive calls) in 77.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 padding.py:5(<module>)
        1    0.000    0.000    0.770    0.770 distributed_training_utils.py:15(<module>)
        1    0.000    0.000    0.000    0.000 variables.py:150(Variable)
        1    0.000    0.000    0.068    0.068 app.py:16(<module>)
        1    0.000    0.000    0.000    0.000 pruning_utils.py:16(<module>)
        1    0.000    0.000    0.002    0.002 cobyla.py:11(<module>)
        6    0.000    0.000    0.007    0.001 decorator.py:221(decorate)
        2    0.000    0.000    0.007    0.003 scanner.py:2(<module>)
       13    0.000    0.000    0.001    0.000 pyparsing.py:3057(__init__)
        1    0.000    0.000    0.000    0.000 compat.py:19(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(TrainSpec)
        1    0.000    0.000    0.001    0.001 camera.py:3368(_set_hflip)
        1    0.000    0.000    0.003    0.003 poisson.py:15(<module>)
        1    0.000    0.000    0.000    0.000 color.py:372(Color)
        1    0.000    0.000    0.000    0.000 one_device_strategy.py:15(<module>)
        5    0.000    0.000    0.000    0.000 posixpath.py:222(expanduser)
        1    0.000    0.000    0.002    0.002 path.py:13(<module>)
        1    0.000    0.000    0.000    0.000 lobpcg.py:11(<module>)
        1    0.000    0.000    0.000    0.000 base.py:108(DatetimeIndexOpsMixin)
        1    0.000    0.000    0.006    0.006 subgraph.py:16(<module>)
        1    0.000    0.000    0.000    0.000 linear_operator_composition.py:15(<module>)
        1    0.000    0.000    0.006    0.006 qual_names.py:22(<module>)
        1    0.000    0.000    0.035    0.035 errors.py:23(<module>)
        1    0.000    0.000    0.030    0.030 sdca_ops.py:16(<module>)
       18    0.000    0.000    0.000    0.000 bcm_host.py:92(VCOS_ALIGN_UP)
        1    0.000    0.000    0.034    0.034 PCA9685.py:68(__init__)
        1    0.000    0.000    0.002    0.002 exceptions.py:8(<module>)
        1    0.000    0.000    0.004    0.004 functional_rnn.py:16(<module>)
        1    0.000    0.000    0.001    0.001 batch_normalization.py:15(<module>)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:150(_families)
        1    0.000    0.000    0.354    0.354 imdb.py:16(<module>)
        1    0.000    0.000    0.024    0.024 eval.py:4(<module>)
        1    0.000    0.000    0.005    0.005 filepost.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
        4    0.000    0.000    0.002    0.000 core.py:123(doc_note)
        1    0.000    0.000    0.002    0.002 negative_binomial.py:15(<module>)
       18    0.000    0.000    0.000    0.000 data.py:108(_create_method)
        1    0.000    0.000    0.000    0.000 morphology.py:31(<module>)
        1    0.000    0.000    0.001    0.001 external_regret_optimizer.py:38(<module>)
        1    0.000    0.000    0.001    0.001 normalization.py:15(<module>)
        1    0.000    0.000    0.167    0.167 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 util.py:109(get_temp_dir)
       32    0.000    0.000    0.001    0.000 version.py:302(__init__)
        1    0.000    0.000    0.000    0.000 concat.py:3(<module>)
       14    0.000    0.000    0.128    0.009 __init__.py:1908(_by_version_descending)
        1    0.000    0.000    0.000    0.000 drawing.py:13(Drawing)
        1    0.000    0.000    0.000    0.000 summaries.py:20(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(EstimatorSpec)
        1    0.000    0.000    0.000    0.000 parallel_reader.py:15(<module>)
        1    0.000    0.000    0.000    0.000 histogram_ops.py:20(<module>)
       60    0.000    0.000    0.000    0.000 symbol_database.py:187(Default)
        1    0.000    0.000    0.002    0.002 sliding.py:15(<module>)
        1    0.000    0.000    0.002    0.002 tnc.py:33(<module>)
        1    0.000    0.000    0.000    0.000 tile.py:3(<module>)
        1    0.000    0.000    0.000    0.000 mmal.py:1811(MMAL_PARAMETER_ENCODING_T)
       24    0.000    0.000    0.076    0.003 six.py:80(_import_module)
        1    0.000    0.000    0.001    0.001 window.py:345(Window)
        1    0.000    0.000    0.007    0.007 conditional_transformed_distribution.py:15(<module>)
       44    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 mobilenet_v2.py:74(<module>)
        1    0.000    0.000    0.000    0.000 sdca_optimizer.py:1(<module>)
        1    0.000    0.000    0.007    0.007 user_ops.py:16(<module>)
        1    0.000    0.000    0.000    0.000 estimator.py:77(Estimator)
        1    0.000    0.000    0.000    0.000 event_file_writer.py:15(<module>)
        1    0.000    0.000    0.001    0.001 rnn_cells.py:19(<module>)
        1    0.000    0.000    0.001    0.001 checkpoint_utils.py:16(<module>)
        1    0.000    0.000    0.000    0.000 densenet.py:14(<module>)
        1    0.000    0.000    0.004    0.004 metrics.py:15(<module>)
        1    0.000    0.000    0.109    0.109 optional_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:3800(__str__)
        1    0.000    0.000    0.071    0.071 feedparser.py:20(<module>)
        1    0.000    0.000    0.000    0.000 sharded_mutable_dense_hashtable.py:15(<module>)
        1    0.000    0.000    0.002    0.002 text.py:16(<module>)
        1    0.000    0.000    0.002    0.002 learn_runner.py:20(<module>)
        1    0.000    0.000    0.002    0.002 cifar10.py:16(<module>)
        1    0.000    0.000    0.001    0.001 permute.py:15(<module>)
        1    0.000    0.000    0.002    0.002 shampoo.py:20(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:43(deprecate)
       22    0.000    0.000    0.000    0.000 mmalobj.py:700(outputs)
        1    0.000    0.000    0.000    0.000 plotting.py:866(MPLPlot)
        1    0.000    0.000    0.000    0.000 context.py:146(Context)
        1    0.000    0.000    0.003    0.003 utils.py:16(<module>)
        1    0.000    0.000    0.000    0.000 vgg16.py:17(<module>)
        3    0.000    0.000    0.002    0.001 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 linear_operator_lower_triangular.py:15(<module>)
        1    0.000    0.000    0.002    0.002 chain.py:15(<module>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:4784(tokenMap)
        1    0.000    0.000    0.001    0.001 summary_op_util.py:15(<module>)
        1    0.000    0.000    0.024    0.024 bz2.py:5(<module>)
        1    0.000    0.000    0.005    0.005 timeline.py:15(<module>)
        1    0.000    0.000    0.008    0.008 reroute.py:15(<module>)
      151    0.000    0.000    0.000    0.000 ops.py:51(<lambda>)
        1    0.000    0.000    0.006    0.006 dumper.py:2(<module>)
        1    0.000    0.000    0.001    0.001 quantized_distribution.py:137(QuantizedDistribution)
        1    0.000    0.000    0.000    0.000 fractions.py:60(Fraction)
        1    0.000    0.000    0.001    0.001 conditional_distribution.py:25(ConditionalDistribution)
        1    0.000    0.000    0.001    0.001 threading.py:826(start)
        1    0.000    0.000    0.000    0.000 parsing_utils.py:15(<module>)
        7    0.000    0.000    0.000    0.000 decorator.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 convert_saved_model.py:15(<module>)
       13    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.000    0.000    0.000    0.000 <string>:5(TPUEstimatorSpec)
        9    0.000    0.000    0.001    0.000 pathlib.py:368(_wrap_strfunc)
        1    0.000    0.000    0.003    0.003 gcs_config_ops.py:15(<module>)
        1    0.000    0.000    0.003    0.003 vector_exponential_linear_operator.py:15(<module>)
       28    0.000    0.000    0.000    0.000 nanops.py:34(<genexpr>)
        1    0.000    0.000    0.009    0.009 decimal.py:2(<module>)
        2    0.000    0.000    0.000    0.000 feeding_queue_runner.py:16(<module>)
        1    0.000    0.000    0.000    0.000 proximal_adagrad.py:16(<module>)
       34    0.000    0.000    0.000    0.000 backend.py:252(register_cipher_adapter)
        5    0.000    0.000    0.000    0.000 generic.py:1340(_create_indexer)
        1    0.000    0.000    0.000    0.000 mobilenet.py:17(<module>)
        1    0.000    0.000    0.017    0.017 remote_fused_graph_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:2896(Table)
        1    0.000    0.000    0.000    0.000 expr.py:264(BaseExprVisitor)
        1    0.000    0.000    0.001    0.001 lanczos.py:15(<module>)
       70    0.000    0.000    0.000    0.000 tag.py:43(__getitem__)
        5    0.000    0.000    0.000    0.000 generic.py:5528(_doc_parms)
       20    0.000    0.000    0.000    0.000 containers.py:334(__eq__)
        1    0.000    0.000    0.000    0.000 pathlib.py:602(PurePath)
        8    0.000    0.000    0.000    0.000 base.py:172(__init__)
        1    0.000    0.000    0.000    0.000 display.py:30(<module>)
       22    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
       20    0.000    0.000    0.000    0.000 series.py:42(_arith_method)
      4/2    0.000    0.000    0.003    0.001 text_format.py:827(_MergeMessageField)
        1    0.000    0.000    0.000    0.000 confusion_matrix.py:15(<module>)
        1    0.000    0.000    0.002    0.002 lbfgsb.py:9(<module>)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
      4/2    0.000    0.000    0.009    0.005 mmalobj.py:1283(connect)
        1    0.000    0.000    0.056    0.056 single_image_random_dot_stereograms.py:15(<module>)
        1    0.000    0.000    0.000    0.000 device_setter.py:15(<module>)
        1    0.000    0.000    0.001    0.001 softmax_centered.py:15(<module>)
       40    0.000    0.000    0.000    0.000 base.py:3405(_make_invalid_op)
        1    0.000    0.000    0.001    0.001 _basinhopping.py:3(<module>)
        6    0.000    0.000    0.001    0.000 tempfile.py:285(rng)
        1    0.000    0.000    0.000    0.000 virtual_batchnorm_impl.py:21(<module>)
        6    0.000    0.000    0.002    0.000 tempfile.py:296(__next__)
        1    0.000    0.000    0.001    0.001 shape.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tensor_queue_dataset.py:15(<module>)
        1    0.000    0.000    0.000    0.000 numerics.py:16(<module>)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
       23    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        7    0.000    0.000    0.000    0.000 namedtype.py:35(__init__)
        1    0.000    0.000    0.001    0.001 return_statements.py:15(<module>)
       12    0.000    0.000    0.000    0.000 initializers.py:62(variance_scaling_initializer)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.006    0.006 streams.py:30(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3788(__init__)
        1    0.000    0.000    0.005    0.005 metric_spec.py:20(<module>)
        1    0.000    0.000    0.005    0.005 scale_tril.py:15(<module>)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vgg19.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _numpysurfarray.py:45(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:553(__eq__)
        1    0.000    0.000    0.000    0.000 histogram_ops.py:17(<module>)
        1    0.000    0.000    0.002    0.002 svm.py:20(<module>)
        1    0.000    0.000    0.001    0.001 variables.py:805(_OverloadAllOperators)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.093    0.093 gen_dataset_ops.py:6045(_InitOpDefLibrary)
        9    0.000    0.000    0.000    0.000 getlimits.py:508(min)
        1    0.000    0.000    0.004    0.004 vis_utils.py:17(<module>)
        1    0.000    0.000    0.007    0.007 descriptor_pool.py:56(<module>)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
        1    0.000    0.000    0.000    0.000 kalman_filter.py:15(<module>)
      5/1    0.000    0.000    0.000    0.000 copy.py:239(_deepcopy_dict)
        1    0.000    0.000    0.011    0.011 saved_model_utils.py:20(<module>)
        1    0.000    0.000    0.000    0.000 test_util.py:15(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:261(wait)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 inception_v3.py:12(<module>)
        3    0.000    0.000    0.000    0.000 heap.py:144(_free)
        1    0.000    0.000    0.000    0.000 groupby.py:1532(BaseGrouper)
        1    0.000    0.000    0.003    0.003 get_single_element.py:15(<module>)
        1    0.000    0.000    0.013    0.013 camera.py:499(_init_splitter)
        1    0.000    0.000    0.015    0.015 core.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:236(<listcomp>)
        1    0.000    0.000    0.000    0.000 reuters.py:16(<module>)
        1    0.000    0.000    0.001    0.001 cholesky_outer_product.py:15(<module>)
        1    0.000    0.000    0.000    0.000 os.py:663(get_exec_path)
       85    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 compare.py:59(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.006    0.006 ggt.py:15(<module>)
        4    0.000    0.000    0.000    0.000 base.py:3552(_add_numeric_methods_unary)
        1    0.000    0.000    0.001    0.001 range.py:21(RangeIndex)
        2    0.000    0.000    0.007    0.003 request.py:1(<module>)
        1    0.000    0.000    0.015    0.015 gen_summary_ops.py:731(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 drop_stale_gradient_optimizer.py:16(<module>)
        1    0.000    0.000    0.028    0.028 memory_stats_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tarfile.py:717(TarInfo)
        1    0.000    0.000    0.000    0.000 mobilenet.py:52(<module>)
        1    0.000    0.000    0.000    0.000 directory_iterator.py:2(<module>)
       61    0.000    0.000    0.000    0.000 descriptor_pool.py:1200(Default)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1497(MMALBuffer)
        1    0.000    0.000    0.001    0.001 core_layers.py:16(<module>)
       11    0.000    0.000    0.000    0.000 nanops.py:40(__call__)
        1    0.000    0.000    0.001    0.001 file_io.py:42(FileIO)
        1    0.000    0.000    0.000    0.000 frequencies.py:49(Resolution)
        1    0.000    0.000    0.001    0.001 camera.py:3322(_set_rotation)
        1    0.000    0.000    0.000    0.000 wire_format.py:31(<module>)
        1    0.000    0.000    0.001    0.001 cookies.py:10(<module>)
       10    0.000    0.000    0.000    0.000 offsets.py:107(apply_index_wraps)
        5    0.000    0.000    0.000    0.000 lazy_loader.py:34(__init__)
        1    0.000    0.000    0.001    0.001 common.py:15(<module>)
        1    0.000    0.000    0.000    0.000 algorithms.py:71(Blowfish)
        2    0.000    0.000    0.000    0.000 common.py:26(<listcomp>)
        1    0.000    0.000    0.010    0.010 edit.py:15(<module>)
        1    0.000    0.000    0.003    0.003 tensor_signature.py:21(<module>)
        1    0.000    0.000    0.001    0.001 _validators.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.003    0.003 test_numexpr.py:744(test_strings)
        1    0.000    0.000    0.000    0.000 multitask_optimizer_wrapper.py:15(<module>)
        1    0.000    0.000    0.000    0.000 groupby.py:337(_GroupBy)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3123(__init__)
       10    0.000    0.000    0.000    0.000 dtypes.py:74(is_dtype)
        1    0.000    0.000    0.004    0.004 specs_lib.py:15(<module>)
        1    0.000    0.000    0.001    0.001 fill_triangular.py:15(<module>)
        1    0.000    0.000    0.000    0.000 xception.py:16(<module>)
        1    0.000    0.000    0.004    0.004 transformer.py:15(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:486(Image)
        1    0.000    0.000    0.000    0.000 xception.py:17(<module>)
        1    0.000    0.000    0.000    0.000 special_math.py:15(<module>)
        1    0.000    0.000    0.000    0.000 adamax.py:16(<module>)
        1    0.000    0.000    0.000    0.000 training_generator.py:16(<module>)
        1    0.000    0.000    0.001    0.001 oid.py:69(ExtensionOID)
        1    0.000    0.000    0.000    0.000 saver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 renderers.py:50(PiRenderer)
        1    0.000    0.000    0.002    0.002 linesearch.py:13(<module>)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
        1    0.000    0.000    0.002    0.002 vgg16.py:8(<module>)
       13    0.000    0.000    0.000    0.000 mmalobj.py:1421(__init__)
       44    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        1    0.000    0.000    0.006    0.006 lil.py:2(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:761(communicate)
        6    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.005    0.005 estimator_training.py:15(<module>)
        1    0.000    0.000    0.000    0.000 linear_operator_full_matrix.py:15(<module>)
        2    0.000    0.000    0.000    0.000 _flagvalues.py:80(__init__)
        1    0.000    0.000    0.003    0.003 fashion_mnist.py:16(<module>)
        1    0.000    0.000    0.003    0.003 heap.py:10(<module>)
        1    0.000    0.000    0.000    0.000 evaluation.py:124(<module>)
        1    0.000    0.000    0.000    0.000 mobilenet_v2.py:17(<module>)
        1    0.000    0.000    0.013    0.013 lite_constants.py:15(<module>)
        1    0.000    0.000    0.003    0.003 mmalobj.py:2345(__init__)
        1    0.000    0.000    0.001    0.001 resource_variable_ops.py:839(_OverloadAllOperators)
        1    0.000    0.000    0.000    0.000 <string>:5(_DeepEmbeddingLookupArguments)
        1    0.000    0.000    0.000    0.000 cifar100.py:16(<module>)
        1    0.000    0.000    0.000    0.000 resample.py:16(<module>)
        1    0.000    0.000    0.013    0.013 device_assignment.py:15(<module>)
        1    0.000    0.000    0.000    0.000 ftrl.py:15(<module>)
        1    0.000    0.000    0.000    0.000 workbook.py:39(Workbook)
        1    0.000    0.000    0.000    0.000 pandas_io.py:16(<module>)
        1    0.000    0.000    0.000    0.000 align.py:2(<module>)
        1    0.000    0.000    0.000    0.000 varma.py:45(<module>)
       14    0.000    0.000    0.000    0.000 config.py:688(config_prefix)
        1    0.000    0.000    0.000    0.000 regularizers.py:15(<module>)
        1    0.000    0.000    0.002    0.002 chi2.py:15(<module>)
        3    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 periodic.py:15(<module>)
        4    0.000    0.000    0.000    0.000 uuid.py:106(__init__)
        1    0.000    0.000    0.009    0.009 fractions.py:4(<module>)
        2    0.000    0.000    0.000    0.000 interpreter.py:139(<listcomp>)
       38    0.000    0.000    0.000    0.000 tf_utils.py:130(shape_type_conversion)
       25    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 tarfile.py:1375(TarFile)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 cycler.py:41(<module>)
        1    0.000    0.000    0.002    0.002 containers.py:40(<module>)
        1    0.000    0.000    0.002    0.002 supervisor.py:43(Supervisor)
        1    0.000    0.000    0.022    0.022 queue_runner.py:16(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:97(<module>)
        8    0.000    0.000    0.001    0.000 pyparsing.py:1800(__radd__)
        1    0.000    0.000    0.000    0.000 factorization_ops.py:50(WALSModel)
       12    0.000    0.000    0.000    0.000 rcsetup.py:434(validate_fontsize)
        1    0.000    0.000    0.001    0.001 scanner.py:27(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_InitEagerTensor}
        1    0.000    0.000    0.000    0.000 composer.py:2(<module>)
       14    0.000    0.000    0.001    0.000 calendar.py:75(__getitem__)
       11    0.000    0.000    0.000    0.000 _helpers.py:90(get_module_object_and_name)
        1    0.000    0.000    0.222    0.222 signature_def_utils.py:18(<module>)
        1    0.000    0.000    0.001    0.001 camera.py:3345(_set_vflip)
        1    0.000    0.000    0.001    0.001 inverse_gamma.py:44(InverseGamma)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:1(<module>)
        1    0.000    0.000    0.007    0.007 device.py:16(<module>)
        1    0.000    0.000    0.000    0.000 bijector_impl.py:132(Bijector)
        1    0.000    0.000    0.009    0.009 tuple_losses.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
        1    0.000    0.000    0.001    0.001 selections.py:15(<module>)
        1    0.000    0.000    0.000    0.000 camera.py:3282(_set_color_effects)
        2    0.000    0.000    0.003    0.001 camera.py:1980(_configure_splitter)
        1    0.000    0.000    0.000    0.000 run_config.py:319(RunConfig)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        1    0.000    0.000    0.001    0.001 _sklearn.py:16(<module>)
        1    0.000    0.000    0.000    0.000 export_lib.py:15(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:14(<module>)
        3    0.000    0.000    0.003    0.001 heap.py:247(__init__)
        1    0.000    0.000    0.000    0.000 source_repr.py:17(<module>)
        1    0.000    0.000    0.002    0.002 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 text_summary.py:20(<module>)
        1    0.000    0.000    0.000    0.000 execution_callbacks.py:15(<module>)
        1    0.000    0.000    0.000    0.000 powersign.py:15(<module>)
        1    0.000    0.000    0.009    0.009 activity.py:18(<module>)
        1    0.000    0.000    0.150    0.150 option_builder.py:15(<module>)
        1    0.000    0.000    0.016    0.016 predictor_factories.py:15(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 expressions.py:7(<module>)
        1    0.000    0.000    0.002    0.002 mimetypes.py:24(<module>)
        6    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 linear_operator_util.py:15(<module>)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1558(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 nest.py:32(<module>)
        2    0.000    0.000    0.000    0.000 exc.py:132(__init__)
        1    0.000    0.000    0.000    0.000 graph_util.py:16(<module>)
        1    0.000    0.000    0.004    0.004 cmac.py:5(<module>)
        1    0.000    0.000    0.000    0.000 model_utils.py:15(<module>)
        1    0.000    0.000    0.002    0.002 gc.py:63(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 tf_inspect.py:15(<module>)
        7    0.000    0.000    0.000    0.000 _threadsafety.py:27(__init__)
       26    0.000    0.000    0.000    0.000 __init__.py:2232(_is_egg_path)
        2    0.000    0.000    0.009    0.004 __init__.py:11(<module>)
       27    0.000    0.000    0.001    0.000 expressions.py:193(func)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.006    0.006 structural_ensemble.py:15(<module>)
        1    0.000    0.000    0.001    0.001 losses_ops.py:21(<module>)
        1    0.000    0.000    0.003    0.003 directives.py:20(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.060    0.060 cudnn_rnn_grad.py:15(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:17(<module>)
        1    0.000    0.000    0.003    0.003 mmalobj.py:2277(__init__)
        1    0.000    0.000    0.000    0.000 univ.py:566(Real)
        1    0.000    0.000    0.003    0.003 ServoControllerModule.py:37(update)
        1    0.000    0.000    0.001    0.001 affine_linear_operator.py:15(<module>)
       23    0.000    0.000    0.000    0.000 __init__.py:676(__init__)
        2    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 serializer.py:2(<module>)
       14    0.000    0.000    0.000    0.000 os.py:851(fsencode)
        1    0.000    0.000    0.002    0.002 resnet.py:15(<module>)
        1    0.000    0.000    0.015    0.015 runner.py:1(<module>)
        2    0.000    0.000    0.000    0.000 text_format.py:1610(ParseEnum)
        1    0.000    0.000    0.000    0.000 external_optimizer.py:15(<module>)
        1    0.000    0.000    0.002    0.002 lazy.py:1(<module>)
        1    0.000    0.000    0.021    0.021 rpc_op.py:17(<module>)
        1    0.000    0.000    0.003    0.003 losses_wargs.py:15(<module>)
        1    0.000    0.000    0.005    0.005 common.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       17    0.000    0.000    0.003    0.000 pyparsing.py:1985(__call__)
        1    0.000    0.000    0.010    0.010 text_format.py:1050(Tokenizer)
        1    0.000    0.000    0.002    0.002 tzfile.py:4(<module>)
        1    0.000    0.000    0.012    0.012 gen_bitwise_ops.py:456(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 display.py:50(PiDisplay)
        2    0.000    0.000    0.000    0.000 descriptor.py:775(__init__)
        1    0.000    0.000    0.003    0.003 classifier_metrics.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:187(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 core.py:264(LabeledTensor)
        1    0.000    0.000    0.000    0.000 <string>:5(_GridRNNConfig)
        1    0.000    0.000    0.003    0.003 idna.py:3(<module>)
        9    0.000    0.000    0.000    0.000 contextlib.py:134(helper)
        1    0.000    0.000    0.000    0.000 lil.py:19(lil_matrix)
        1    0.000    0.000    0.000    0.000 expressions.py:390(ExpressionNode)
        1    0.000    0.000    0.000    0.000 losses.py:15(<module>)
        1    0.000    0.000    0.001    0.001 emitter.py:9(<module>)
       48    0.000    0.000    0.000    0.000 __init__.py:2990(_always_object)
        1    0.000    0.000    0.000    0.000 <string>:5(ModelFnOps)
        1    0.000    0.000    0.000    0.000 text_datasets.py:21(<module>)
        9    0.000    0.000    0.000    0.000 warnings.py:62(simplefilter)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 pytables.py:385(HDFStore)
        1    0.000    0.000    0.000    0.000 writer_cache.py:15(<module>)
        1    0.000    0.000    0.000    0.000 inception_resnet_v2.py:16(<module>)
        7    0.000    0.000    0.013    0.002 enum.py:215(__call__)
        1    0.000    0.000    0.001    0.001 renderers.py:30(<module>)
        1    0.000    0.000    0.000    0.000 tag_constants.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
        1    0.000    0.000    0.000    0.000 templates.py:18(<module>)
        1    0.000    0.000    0.000    0.000 reader.py:15(<module>)
        2    0.000    0.000    0.006    0.003 text_format.py:657(_ParseOrMerge)
       39    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.001    0.001 embeddings_ops.py:24(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseSequenceExample)
        1    0.000    0.000    0.004    0.004 learn_runner_lib.py:23(<module>)
        1    0.000    0.000    0.000    0.000 dogbox.py:42(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 window_ops.py:15(<module>)
        1    0.000    0.000    0.002    0.002 pivideostream.py:22(start)
        1    0.000    0.000    0.019    0.019 compiler.py:18(<module>)
        1    0.000    0.000    0.000    0.000 op_util.py:83(<listcomp>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 proximal_gradient_descent.py:16(<module>)
        6    0.000    0.000    0.000    0.000 mmalobj.py:655(<genexpr>)
        1    0.000    0.000    0.001    0.001 constrained_optimizer.py:15(<module>)
        1    0.000    0.000    0.000    0.000 logistic_regressor.py:23(<module>)
       10    0.000    0.000    0.002    0.000 text_format.py:1503(ParseInteger)
        1    0.000    0.000    0.001    0.001 feature_column.py:197(_FeatureColumn)
       25    0.000    0.000    0.000    0.000 constructor.py:145(add_constructor)
        1    0.000    0.000    0.000    0.000 compat.py:3(<module>)
        1    0.000    0.000    0.060    0.060 specifiers.py:275(Specifier)
        1    0.000    0.000    0.000    0.000 random_seed.py:17(<module>)
        1    0.000    0.000    0.228    0.228 gradients.py:15(<module>)
