Sun Apr  7 23:14:41 2019    /home/pi/ballance/Ballance/PythonCode/stats

         14936588 function calls (14873155 primitive calls) in 77.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2531    0.072    0.000    0.313    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
  3185/11    0.072    0.000   51.000    4.636 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
  2546/14    0.071    0.000   50.989    3.642 <frozen importlib._bootstrap>:659(_load_unlocked)
     5461    0.071    0.000    0.074    0.000 <frozen importlib._bootstrap>:94(acquire)
    13640    0.069    0.000    0.078    0.000 decoder.py:544(_ConvertToUnicode)
    21349    0.069    0.000    0.069    0.000 sre_parse.py:226(__next)
        2    0.069    0.034    0.069    0.034 mmalobj.py:726(disable)
     5461    0.068    0.000    0.072    0.000 <frozen importlib._bootstrap>:119(release)
    15962    0.066    0.000    0.267    0.000 posixpath.py:158(islink)
144844/143929    0.065    0.000    0.067    0.000 {built-in method builtins.len}
     5189    0.064    0.000    0.064    0.000 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_GetTensor}
      405    0.064    0.000    0.106    0.000 decorator_utils.py:35(_normalize_docstring)
     7466    0.063    0.000    0.070    0.000 decoder.py:145(DecodeVarint)
    10378    0.063    0.000    0.086    0.000 numeric.py:541(asanyarray)
     5189    0.062    0.000    0.062    0.000 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_SetTensor}
     5189    0.059    0.000    0.251    0.000 fromnumeric.py:2940(around)
      666    0.056    0.000    0.056    0.000 {built-in method posix.listdir}
3046/3045    0.055    0.000    1.049    0.000 <frozen importlib._bootstrap_external>:1109(_get_spec)
    62530    0.055    0.000    0.055    0.000 {built-in method _operator.getitem}
      987    0.055    0.000    0.056    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
12238/11355    0.053    0.000    0.075    0.000 python_message.py:1457(Modified)
    10428    0.052    0.000    0.127    0.000 {built-in method builtins.any}
 1756/224    0.051    0.000    0.209    0.001 sre_compile.py:64(_compile)
    57764    0.051    0.000    0.051    0.000 {method 'rstrip' of 'str' objects}
    26238    0.050    0.000    0.076    0.000 posixpath.py:39(_get_sep)
    19218    0.049    0.000    0.053    0.000 {built-in method builtins.setattr}
     5189    0.048    0.000   11.944    0.002 interpreter.py:244(invoke)
      559    0.047    0.000    0.047    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
1394/1270    0.046    0.000    0.271    0.000 python_message.py:308(_AttachFieldHelpers)
     4310    0.046    0.000    0.107    0.000 inspect.py:601(getfile)
     5389    0.046    0.000    0.422    0.000 posixpath.py:356(abspath)
     2530    0.046    0.000    0.081    0.000 <frozen importlib._bootstrap>:321(__exit__)
    18847    0.045    0.000    0.104    0.000 sre_parse.py:247(get)
      322    0.045    0.000    0.838    0.003 __init__.py:359(namedtuple)
     5189    0.043    0.000    0.128    0.000 interpreter.py:142(set_tensor)
     5189    0.043    0.000    0.192    0.000 fromnumeric.py:54(_wrapfunc)
       20    0.043    0.002    0.043    0.002 {built-in method _pywrap_tensorflow_internal.GetPythonWrappers}
     2539    0.042    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:521(spec_from_file_location)
    18927    0.039    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:374(_verbose_message)
  2374/14    0.039    0.000   50.986    3.642 <frozen importlib._bootstrap_external>:667(exec_module)
     9121    0.038    0.000    0.038    0.000 {method 'split' of 'str' objects}
      637    0.038    0.000   33.201    0.052 inspect.py:1395(getframeinfo)
     1149    0.037    0.000    0.089    0.000 version.py:198(__init__)
     1810    0.036    0.000    0.036    0.000 {built-in method posix.getcwd}
    12065    0.035    0.000    0.035    0.000 {built-in method _weakref.proxy}
    17141    0.034    0.000    0.034    0.000 {method 'items' of 'dict' objects}
    20867    0.034    0.000    0.034    0.000 {method 'rpartition' of 'str' objects}
      359    0.034    0.000    0.045    0.000 descriptor.py:293(__init__)
      637    0.034    0.000   22.455    0.035 inspect.py:735(findsource)
     3426    0.033    0.000    0.497    0.000 inspect.py:677(getabsfile)
    51054    0.033    0.000    0.033    0.000 {method 'strip' of 'str' objects}
      599    0.033    0.000    0.072    0.000 inspect.py:2066(_signature_from_function)
2795/1911    0.033    0.000    0.515    0.000 decoder.py:713(DecodeField)
     2797    0.033    0.000    0.141    0.000 python_message.py:464(MakeSubMessageDefault)
  1626/18    0.032    0.000   49.774    2.765 {built-in method builtins.__import__}
     2373    0.032    0.000    1.448    0.001 <frozen importlib._bootstrap_external>:482(_compile_bytecode)
     1394    0.032    0.000    0.036    0.000 descriptor.py:958(_ToJsonName)
     1732    0.031    0.000    0.031    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1485    0.031    0.000    0.083    0.000 python_message.py:342(AddDecoder)
     3188    0.031    0.000    0.174    0.000 <frozen importlib._bootstrap>:163(__enter__)
     5189    0.031    0.000    0.282    0.000 fromnumeric.py:3373(round_)
     5191    0.030    0.000    0.037    0.000 interpreter.py:73(_safe_to_run)
2768/1238    0.030    0.000    0.037    0.000 sre_parse.py:167(getwidth)
     5189    0.030    0.000    0.030    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
    11608    0.030    0.000    0.284    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
2530/2424    0.030    0.000    2.476    0.001 <frozen importlib._bootstrap>:570(module_from_spec)
     3212    0.030    0.000    0.077    0.000 encoder.py:418(TagBytes)
     5189    0.029    0.000    0.059    0.000 fromnumeric.py:1331(squeeze)
     5409    0.028    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     1319    0.028    0.000    0.047    0.000 functools.py:43(update_wrapper)
     5189    0.028    0.000    0.111    0.000 interpreter.py:185(get_tensor)
     3906    0.028    0.000    0.060    0.000 op_def_library.py:71(_NumTypeFields)
     1264    0.027    0.000    0.027    0.000 {method 'splitlines' of 'str' objects}
     1737    0.027    0.000    0.061    0.000 tf_export.py:148(__call__)
     5189    0.027    0.000   11.840    0.002 tensorflow_wrap_interpreter_wrapper.py:108(Invoke)
     4509    0.027    0.000    0.075    0.000 type_checkers.py:129(CheckValue)
    54197    0.027    0.000    0.027    0.000 {method 'add' of 'set' objects}
      704    0.026    0.000    0.183    0.000 decoder.py:215(DecodePackedField)
     3133    0.026    0.000    0.034    0.000 <frozen importlib._bootstrap>:74(__init__)
     2754    0.026    0.000    0.026    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     7349    0.026    0.000    0.061    0.000 posixpath.py:61(isabs)
      442    0.026    0.000    0.027    0.000 {built-in method io.open}
     2273    0.026    0.000    0.090    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     1394    0.025    0.000    0.067    0.000 descriptor.py:536(__init__)
      843    0.025    0.000    0.043    0.000 python_message.py:685(_AddPropertiesForNonRepeatedScalarField)
     2509    0.025    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:350(_get_cached)
     3221    0.025    0.000    0.025    0.000 <frozen importlib._bootstrap>:372(__init__)
     7225    0.025    0.000    0.033    0.000 sre_parse.py:157(__getitem__)
     4739    0.024    0.000    0.103    0.000 containers.py:253(append)
     2538    0.024    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:1218(_get_spec)
    12680    0.023    0.000    0.033    0.000 inspect.py:665(<genexpr>)
     5189    0.023    0.000    0.084    0.000 tensorflow_wrap_interpreter_wrapper.py:132(SetTensor)
     3379    0.023    0.000    0.139    0.000 genericpath.py:16(exists)
     2153    0.022    0.000    0.043    0.000 op_def_library.py:37(_Attr)
     4883    0.022    0.000    0.168    0.000 <frozen importlib._bootstrap>:406(cached)
     2074    0.022    0.000    0.037    0.000 <string>:8(setvalue)
    10733    0.022    0.000    0.029    0.000 <frozen importlib._bootstrap>:852(__enter__)
      359    0.022    0.000    0.063    0.000 python_message.py:1427(_AddMessageMethods)
